!x	fA	fB	fC	fD	A	B	C	D
1.535229045	0.013472163	0.131798302	0.742295016	0.245229083	0.0135	0.13243	0.74138	0.24513
1.552267092	0.013463776	0.131698529	0.742407096	0.245245654	0.01349	0.13216	0.74156	0.24515
1.569777694	0.013455953	0.131616252	0.742504979	0.245260733	0.01348	0.1319	0.74173	0.24516
1.587789529	0.013448695	0.131550141	0.742589003	0.245274322	0.01348	0.13165	0.74189	0.24518
1.606333198	0.013442005	0.131498882	0.74265949	0.245286422	0.01347	0.13142	0.74204	0.24519
1.625441414	0.013435887	0.131461184	0.742716748	0.245297034	0.01346	0.1312	0.74219	0.2452
1.645149224	0.013430345	0.131435787	0.742761066	0.245306156	0.01346	0.13099	0.74232	0.24522
1.665494248	0.013425386	0.131421466	0.742792714	0.245313789	0.01345	0.1308	0.74244	0.24523
1.68651694	0.013421017	0.131417044	0.742811943	0.245319931	0.01344	0.13062	0.74256	0.24524
1.708260892	0.013417246	0.131421402	0.742818982	0.245324579	0.01344	0.13046	0.74266	0.24525
1.730773166	0.013414084	0.13143349	0.742814035	0.245327729	0.01343	0.13032	0.74276	0.24526
1.754104664	0.013411542	0.131452343	0.742797277	0.245329379	0.01343	0.13019	0.74284	0.24526
1.778310556	0.013409634	0.131477091	0.742768857	0.245329523	0.01343	0.13008	0.74291	0.24527
1.803450748	0.013408376	0.131506981	0.742728885	0.245328155	0.01342	0.12999	0.74297	0.24527
1.829590427	0.013407787	0.131541393	0.742677434	0.245325267	0.01342	0.12992	0.74301	0.24528
1.856800668	0.013407887	0.131579861	0.742614535	0.245320849	0.01342	0.12987	0.74305	0.24528
1.885159133	0.013408701	0.131622097	0.742540168	0.245314889	0.01342	0.12984	0.74307	0.24528
1.914750865	0.013410257	0.131668014	0.742454256	0.245307374	0.01342	0.12983	0.74307	0.24528
1.945669196	0.013412586	0.13171776	0.74235666	0.245298285	0.01342	0.12985	0.74306	0.24528
1.978016798	0.013415726	0.131771744	0.742247169	0.2452876	0.01342	0.12989	0.74303	0.24528
2.011906889	0.013419717	0.131830678	0.742125488	0.245275294	0.01342	0.12996	0.74299	0.24528
2.047464626	0.013424607	0.131895612	0.741991229	0.245261332	0.01343	0.13006	0.74292	0.24527
2.084828725	0.013430449	0.131967986	0.741843896	0.245245676	0.01343	0.13019	0.74284	0.24526
2.124153357	0.013437306	0.132049677	0.74168287	0.245228278	0.01344	0.13036	0.74273	0.24525
2.165610346	0.013445247	0.132143064	0.741507388	0.24520908	0.01344	0.13056	0.7426	0.24524
2.209391772	0.013454351	0.132251091	0.741316526	0.24518801	0.01345	0.1308	0.74244	0.24523
2.255713027	0.013464708	0.132377352	0.741109167	0.245164983	0.01346	0.13108	0.74226	0.24521
2.30481644	0.013476419	0.132526178	0.740883974	0.245139897	0.01347	0.13141	0.74205	0.24519
2.356975595	0.013489598	0.132702748	0.740639349	0.245112627	0.01348	0.13179	0.7418	0.24517
2.412500489	0.013504373	0.132913216	0.740373391	0.245083024	0.01349	0.13223	0.74152	0.24514
2.471743742	0.01352089	0.133164861	0.740083835	0.245050909	0.01351	0.13272	0.7412	0.24511
2.535108103	0.013539307	0.133466267	0.739767989	0.245016066	0.01353	0.13328	0.74084	0.24508
2.603055576	0.013559803	0.133827537	0.739422643	0.244978236	0.01355	0.13391	0.74042	0.24505
2.676118595	0.013582575	0.134260556	0.739043963	0.244937107	0.01357	0.13463	0.73996	0.245
2.754913788	0.013607837	0.134779302	0.738627357	0.244892304	0.01359	0.13543	0.73944	0.24496
2.840159053	0.013635821	0.135400226	0.738167298	0.244843375	0.01362	0.13633	0.73886	0.2449
2.932694914	0.013666773	0.136142707	0.737657098	0.244789771	0.01365	0.13733	0.73821	0.24485
3.033511424	0.01370095	0.137029591	0.737088623	0.244730829	0.01368	0.13847	0.73747	0.24478
3.143782379	0.013738614	0.138087835	0.7364519	0.244665738	0.01372	0.13974	0.73665	0.24471
3.264909213	0.01378002	0.139349233	0.735734612	0.244593504	0.01376	0.14116	0.73573	0.24462
3.398577912	0.013825403	0.140851208	0.7349214	0.2445129	0.0138	0.14276	0.73469	0.24453
3.546833593	0.01387496	0.142637591	0.733992928	0.244422398	0.01385	0.14456	0.73352	0.24442
3.712179427	0.013928829	0.144759226	0.732924568	0.244320075	0.01391	0.14659	0.73221	0.24431
3.897709558	0.013987076	0.147274019	0.731684563	0.244203485	0.01397	0.14889	0.73072	0.24417
4.107290267	0.014049696	0.150245753	0.730231389	0.244069469	0.01404	0.15149	0.72904	0.24402
4.345810806	0.014116672	0.153740226	0.728509896	0.243913892	0.01411	0.15445	0.72713	0.24385
4.619536792	0.01418817	0.157815939	0.726445557	0.243731237	0.01419	0.15783	0.72494	0.24366
4.93661782	0.014265039	0.162503817	0.723935672	0.243513992	0.01429	0.1617	0.72244	0.24343
5.307832603	0.01434998	0.167764834	0.720835556	0.24325169	0.01439	0.16617	0.71956	0.24318
5.747709935	0.014450141	0.173402865	0.716936188	0.242929341	0.01449	0.17135	0.71621	0.24288
6.276262701	0.014582762	0.178885483	0.711926741	0.242524795	0.01461	0.17741	0.71231	0.24253
6.921757632	0.014787322	0.18297196	0.70532926	0.242004074	0.01474	0.18455	0.70771	0.24213
